Landkreis;Personen;Altersgruppe;Geschlecht;Nationalität
SK Berlin Friedrichshain-Kreuzberg;1285;A60-A64;W;A
SK Berlin Friedrichshain-Kreuzberg;3234;A65+;W;A
SK Berlin Pankow;2087;A00-A05;W;A
SK Berlin Pankow;2244;A06-A14;W;A
SK Berlin Pankow;593;A15-A17;W;A
SK Berlin Pankow;530;A18-A19;W;A
SK Berlin Pankow;2263;A20-A24;W;A
SK Berlin Pankow;5367;A25-A29;W;A
SK Berlin Pankow;6809;A30-A34;W;A
SK Berlin Pankow;5353;A35-A39;W;A
SK Berlin Pankow;3564;A40-A44;W;A
SK Berlin Pankow;5187;A45-A59;W;A
SK Berlin Pankow;652;A60-A64;W;A
SK Berlin Pankow;1197;A65+;W;A
SK Berlin Charlottenburg-Wilmersdorf;1672;A00-A05;W;A
SK Berlin Charlottenburg-Wilmersdorf;2457;A06-A14;W;A
SK Berlin Charlottenburg-Wilmersdorf;712;A15-A17;W;A
SK Berlin Charlottenburg-Wilmersdorf;573;A18-A19;W;A
SK Berlin Charlottenburg-Wilmersdorf;2890;A20-A24;W;A
SK Berlin Charlottenburg-Wilmersdorf;4968;A25-A29;W;A
SK Berlin Charlottenburg-Wilmersdorf;5636;A30-A34;W;A
SK Berlin Charlottenburg-Wilmersdorf;4492;A35-A39;W;A
SK Berlin Charlottenburg-Wilmersdorf;3828;A40-A44;W;A
SK Berlin Charlottenburg-Wilmersdorf;9246;A45-A59;W;A
SK Berlin Charlottenburg-Wilmersdorf;2110;A60-A64;W;A
SK Berlin Charlottenburg-Wilmersdorf;5432;A65+;W;A
SK Berlin Spandau;1982;A00-A05;W;A
SK Berlin Spandau;3037;A06-A14;W;A
SK Berlin Spandau;816;A15-A17;W;A
SK Berlin Spandau;523;A18-A19;W;A
SK Berlin Spandau;1740;A20-A24;W;A
SK Berlin Spandau;2873;A25-A29;W;A
SK Berlin Spandau;3223;A30-A34;W;A
SK Berlin Spandau;2969;A35-A39;W;A
SK Berlin Spandau;2629;A40-A44;W;A
SK Berlin Spandau;5668;A45-A59;W;A
SK Berlin Spandau;1108;A60-A64;W;A
SK Berlin Spandau;2568;A65+;W;A
SK Berlin Steglitz-Zehlendorf;979;A00-A05;W;A
SK Berlin Steglitz-Zehlendorf;1772;A06-A14;W;A
SK Berlin Steglitz-Zehlendorf;536;A15-A17;W;A
SK Berlin Steglitz-Zehlendorf;405;A18-A19;W;A
SK Berlin Steglitz-Zehlendorf;1830;A20-A24;W;A
SK Berlin Steglitz-Zehlendorf;2739;A25-A29;W;A
SK Berlin Steglitz-Zehlendorf;3003;A30-A34;W;A
SK Berlin Steglitz-Zehlendorf;2751;A35-A39;W;A
SK Berlin Steglitz-Zehlendorf;2480;A40-A44;W;A
SK Berlin Steglitz-Zehlendorf;5716;A45-A59;W;A
SK Berlin Steglitz-Zehlendorf;1275;A60-A64;W;A
SK Berlin Steglitz-Zehlendorf;3110;A65+;W;A
SK Berlin Tempelhof-Schöneberg;1585;A00-A05;W;A
SK Berlin Tempelhof-Schöneberg;2238;A06-A14;W;A
SK Berlin Tempelhof-Schöneberg;638;A15-A17;W;A
SK Berlin Tempelhof-Schöneberg;471;A18-A19;W;A
SK Berlin Tempelhof-Schöneberg;2237;A20-A24;W;A
SK Berlin Tempelhof-Schöneberg;4237;A25-A29;W;A
SK Berlin Tempelhof-Schöneberg;4673;A30-A34;W;A
SK Berlin Tempelhof-Schöneberg;3923;A35-A39;W;A
SK Berlin Tempelhof-Schöneberg;3239;A40-A44;W;A
SK Berlin Tempelhof-Schöneberg;7745;A45-A59;W;A
SK Berlin Tempelhof-Schöneberg;1582;A60-A64;W;A
SK Berlin Tempelhof-Schöneberg;4459;A65+;W;A
SK Berlin Neukölln;1541;A00-A05;W;A
SK Berlin Neukölln;2134;A06-A14;W;A
SK Berlin Neukölln;707;A15-A17;W;A
SK Berlin Neukölln;494;A18-A19;W;A
SK Berlin Neukölln;2239;A20-A24;W;A
SK Berlin Neukölln;4913;A25-A29;W;A
SK Berlin Neukölln;6461;A30-A34;W;A
SK Berlin Neukölln;5141;A35-A39;W;A
SK Berlin Neukölln;4079;A40-A44;W;A
SK Berlin Neukölln;8962;A45-A59;W;A
SK Berlin Neukölln;1728;A60-A64;W;A
SK Berlin Neukölln;4431;A65+;W;A
SK Berlin Treptow-Köpenick;1381;A00-A05;W;A
SK Berlin Treptow-Köpenick;1661;A06-A14;W;A
SK Berlin Treptow-Köpenick;398;A15-A17;W;A
SK Berlin Treptow-Köpenick;314;A18-A19;W;A
SK Berlin Treptow-Köpenick;1343;A20-A24;W;A
SK Berlin Treptow-Köpenick;2810;A25-A29;W;A
SK Berlin Treptow-Köpenick;2944;A30-A34;W;A
SK Berlin Treptow-Köpenick;2295;A35-A39;W;A
SK Berlin Treptow-Köpenick;1620;A40-A44;W;A
SK Berlin Treptow-Köpenick;2602;A45-A59;W;A
SK Berlin Treptow-Köpenick;415;A60-A64;W;A
SK Berlin Treptow-Köpenick;639;A65+;W;A
SK Berlin Marzahn-Hellersdorf;1983;A00-A05;W;A
SK Berlin Marzahn-Hellersdorf;2290;A06-A14;W;A
SK Berlin Marzahn-Hellersdorf;558;A15-A17;W;A
SK Berlin Marzahn-Hellersdorf;416;A18-A19;W;A
SK Berlin Marzahn-Hellersdorf;1579;A20-A24;W;A
SK Berlin Marzahn-Hellersdorf;2559;A25-A29;W;A
SK Berlin Marzahn-Hellersdorf;2611;A30-A34;W;A
SK Berlin Marzahn-Hellersdorf;2176;A35-A39;W;A
SK Berlin Marzahn-Hellersdorf;1815;A40-A44;W;A
SK Berlin Marzahn-Hellersdorf;3418;A45-A59;W;A
SK Berlin Marzahn-Hellersdorf;584;A60-A64;W;A
SK Berlin Marzahn-Hellersdorf;721;A65+;W;A
SK Berlin Lichtenberg;2628;A00-A05;W;A
SK Berlin Lichtenberg;2805;A06-A14;W;A
SK Berlin Lichtenberg;716;A15-A17;W;A
SK Berlin Lichtenberg;552;A18-A19;W;A
SK Berlin Lichtenberg;2702;A20-A24;W;A
SK Berlin Lichtenberg;4928;A25-A29;W;A
SK Berlin Lichtenberg;4714;A30-A34;W;A
SK Berlin Lichtenberg;3422;A35-A39;W;A
SK Berlin Lichtenberg;2377;A40-A44;W;A
SK Berlin Lichtenberg;4420;A45-A59;W;A
SK Berlin Lichtenberg;756;A60-A64;W;A
SK Berlin Lichtenberg;972;A65+;W;A
SK Berlin Reinickendorf;1465;A00-A05;W;A
SK Berlin Reinickendorf;2309;A06-A14;W;A
SK Berlin Reinickendorf;694;A15-A17;W;A
SK Berlin Reinickendorf;468;A18-A19;W;A
SK Berlin Reinickendorf;1803;A20-A24;W;A
SK Berlin Reinickendorf;2877;A25-A29;W;A
SK Berlin Reinickendorf;3169;A30-A34;W;A
SK Berlin Reinickendorf;2673;A35-A39;W;A
SK Berlin Reinickendorf;2476;A40-A44;W;A
SK Berlin Reinickendorf;5555;A45-A59;W;A
SK Berlin Reinickendorf;1039;A60-A64;W;A
SK Berlin Reinickendorf;2402;A65+;W;A
Berlin;21384;A00-A05;W;A
Berlin;28047;A06-A14;W;A
Berlin;7811;A15-A17;W;A
Berlin;6037;A18-A19;W;A
Berlin;28525;A20-A24;W;A
Berlin;54141;A25-A29;W;A
Berlin;61677;A30-A34;W;A
Berlin;48584;A35-A39;W;A
Berlin;37579;A40-A44;W;A
Berlin;77323;A45-A59;W;A
Berlin;14884;A60-A64;W;A
Berlin;34768;A65+;W;A
