Landkreis;Personen;Altersgruppe;Geschlecht;Nationalität
SK Berlin Neukölln;21723;A65+;M;D
SK Berlin Treptow-Köpenick;7630;A00-A05;M;D
SK Berlin Treptow-Köpenick;9886;A06-A14;M;D
SK Berlin Treptow-Köpenick;2776;A15-A17;M;D
SK Berlin Treptow-Köpenick;1797;A18-A19;M;D
SK Berlin Treptow-Köpenick;5440;A20-A24;M;D
SK Berlin Treptow-Köpenick;5761;A25-A29;M;D
SK Berlin Treptow-Köpenick;8851;A30-A34;M;D
SK Berlin Treptow-Köpenick;9697;A35-A39;M;D
SK Berlin Treptow-Köpenick;8952;A40-A44;M;D
SK Berlin Treptow-Köpenick;25616;A45-A59;M;D
SK Berlin Treptow-Köpenick;8453;A60-A64;M;D
SK Berlin Treptow-Köpenick;24661;A65+;M;D
SK Berlin Marzahn-Hellersdorf;7035;A00-A05;M;D
SK Berlin Marzahn-Hellersdorf;11080;A06-A14;M;D
SK Berlin Marzahn-Hellersdorf;3144;A15-A17;M;D
SK Berlin Marzahn-Hellersdorf;1950;A18-A19;M;D
SK Berlin Marzahn-Hellersdorf;4950;A20-A24;M;D
SK Berlin Marzahn-Hellersdorf;4596;A25-A29;M;D
SK Berlin Marzahn-Hellersdorf;7815;A30-A34;M;D
SK Berlin Marzahn-Hellersdorf;9435;A35-A39;M;D
SK Berlin Marzahn-Hellersdorf;8528;A40-A44;M;D
SK Berlin Marzahn-Hellersdorf;22535;A45-A59;M;D
SK Berlin Marzahn-Hellersdorf;10057;A60-A64;M;D
SK Berlin Marzahn-Hellersdorf;26294;A65+;M;D
SK Berlin Lichtenberg;7697;A00-A05;M;D
SK Berlin Lichtenberg;10259;A06-A14;M;D
SK Berlin Lichtenberg;2846;A15-A17;M;D
SK Berlin Lichtenberg;1799;A18-A19;M;D
SK Berlin Lichtenberg;5044;A20-A24;M;D
SK Berlin Lichtenberg;5813;A25-A29;M;D
SK Berlin Lichtenberg;9648;A30-A34;M;D
SK Berlin Lichtenberg;11011;A35-A39;M;D
SK Berlin Lichtenberg;9437;A40-A44;M;D
SK Berlin Lichtenberg;22044;A45-A59;M;D
SK Berlin Lichtenberg;7933;A60-A64;M;D
SK Berlin Lichtenberg;23624;A65+;M;D
SK Berlin Reinickendorf;6555;A00-A05;M;D
SK Berlin Reinickendorf;9473;A06-A14;M;D
SK Berlin Reinickendorf;3020;A15-A17;M;D
SK Berlin Reinickendorf;2069;A18-A19;M;D
SK Berlin Reinickendorf;5230;A20-A24;M;D
SK Berlin Reinickendorf;5377;A25-A29;M;D
SK Berlin Reinickendorf;6080;A30-A34;M;D
SK Berlin Reinickendorf;5876;A35-A39;M;D
SK Berlin Reinickendorf;5355;A40-A44;M;D
SK Berlin Reinickendorf;20846;A45-A59;M;D
SK Berlin Reinickendorf;7628;A60-A64;M;D
SK Berlin Reinickendorf;24930;A65+;M;D
Berlin;93248;A00-A05;M;D
Berlin;130044;A06-A14;M;D
Berlin;39389;A15-A17;M;D
Berlin;25553;A18-A19;M;D
Berlin;70691;A20-A24;M;D
Berlin;81973;A25-A29;M;D
Berlin;108201;A30-A34;M;D
Berlin;110102;A35-A39;M;D
Berlin;101161;A40-A44;M;D
Berlin;299663;A45-A59;M;D
Berlin;98615;A60-A64;M;D
Berlin;284659;A65+;M;D
SK Berlin Mitte;8404;A00-A05;W;D
SK Berlin Mitte;10578;A06-A14;W;D
SK Berlin Mitte;3312;A15-A17;W;D
SK Berlin Mitte;2367;A18-A19;W;D
SK Berlin Mitte;8335;A20-A24;W;D
SK Berlin Mitte;11673;A25-A29;W;D
SK Berlin Mitte;12302;A30-A34;W;D
SK Berlin Mitte;9636;A35-A39;W;D
SK Berlin Mitte;7782;A40-A44;W;D
SK Berlin Mitte;20594;A45-A59;W;D
SK Berlin Mitte;6484;A60-A64;W;D
SK Berlin Mitte;21715;A65+;W;D
SK Berlin Friedrichshain-Kreuzberg;6978;A00-A05;W;D
SK Berlin Friedrichshain-Kreuzberg;8825;A06-A14;W;D
SK Berlin Friedrichshain-Kreuzberg;2635;A15-A17;W;D
SK Berlin Friedrichshain-Kreuzberg;1689;A18-A19;W;D
SK Berlin Friedrichshain-Kreuzberg;5418;A20-A24;W;D
SK Berlin Friedrichshain-Kreuzberg;8292;A25-A29;W;D
SK Berlin Friedrichshain-Kreuzberg;10764;A30-A34;W;D
SK Berlin Friedrichshain-Kreuzberg;10396;A35-A39;W;D
SK Berlin Friedrichshain-Kreuzberg;9184;A40-A44;W;D
SK Berlin Friedrichshain-Kreuzberg;18658;A45-A59;W;D
SK Berlin Friedrichshain-Kreuzberg;4902;A60-A64;W;D
SK Berlin Friedrichshain-Kreuzberg;13381;A65+;W;D
SK Berlin Pankow;10547;A00-A05;W;D
SK Berlin Pankow;16267;A06-A14;W;D
SK Berlin Pankow;4578;A15-A17;W;D
SK Berlin Pankow;2649;A18-A19;W;D
SK Berlin Pankow;7424;A20-A24;W;D
SK Berlin Pankow;9114;A25-A29;W;D
SK Berlin Pankow;13489;A30-A34;W;D
SK Berlin Pankow;14667;A35-A39;W;D
SK Berlin Pankow;14689;A40-A44;W;D
SK Berlin Pankow;40018;A45-A59;W;D
SK Berlin Pankow;9631;A60-A64;W;D
SK Berlin Pankow;34813;A65+;W;D
SK Berlin Charlottenburg-Wilmersdorf;6510;A00-A05;W;D
SK Berlin Charlottenburg-Wilmersdorf;8728;A06-A14;W;D
SK Berlin Charlottenburg-Wilmersdorf;2722;A15-A17;W;D
SK Berlin Charlottenburg-Wilmersdorf;2041;A18-A19;W;D
SK Berlin Charlottenburg-Wilmersdorf;6727;A20-A24;W;D
SK Berlin Charlottenburg-Wilmersdorf;8094;A25-A29;W;D
SK Berlin Charlottenburg-Wilmersdorf;8161;A30-A34;W;D
SK Berlin Charlottenburg-Wilmersdorf;7573;A35-A39;W;D
SK Berlin Charlottenburg-Wilmersdorf;6935;A40-A44;W;D
SK Berlin Charlottenburg-Wilmersdorf;25946;A45-A59;W;D
SK Berlin Charlottenburg-Wilmersdorf;9467;A60-A64;W;D
SK Berlin Charlottenburg-Wilmersdorf;39422;A65+;W;D
SK Berlin Spandau;5725;A00-A05;W;D
SK Berlin Spandau;8206;A06-A14;W;D
SK Berlin Spandau;2618;A15-A17;W;D
SK Berlin Spandau;1743;A18-A19;W;D
SK Berlin Spandau;5019;A20-A24;W;D
SK Berlin Spandau;4949;A25-A29;W;D
SK Berlin Spandau;5752;A30-A34;W;D
SK Berlin Spandau;5562;A35-A39;W;D
SK Berlin Spandau;5218;A40-A44;W;D
SK Berlin Spandau;19334;A45-A59;W;D
SK Berlin Spandau;7226;A60-A64;W;D
SK Berlin Spandau;27972;A65+;W;D
SK Berlin Steglitz-Zehlendorf;6644;A00-A05;W;D
SK Berlin Steglitz-Zehlendorf;10701;A06-A14;W;D
SK Berlin Steglitz-Zehlendorf;3479;A15-A17;W;D
SK Berlin Steglitz-Zehlendorf;2394;A18-A19;W;D
SK Berlin Steglitz-Zehlendorf;6188;A20-A24;W;D
SK Berlin Steglitz-Zehlendorf;5806;A25-A29;W;D
SK Berlin Steglitz-Zehlendorf;6475;A30-A34;W;D
SK Berlin Steglitz-Zehlendorf;6976;A35-A39;W;D
SK Berlin Steglitz-Zehlendorf;7344;A40-A44;W;D
SK Berlin Steglitz-Zehlendorf;28813;A45-A59;W;D
SK Berlin Steglitz-Zehlendorf;9779;A60-A64;W;D
SK Berlin Steglitz-Zehlendorf;42898;A65+;W;D
SK Berlin Tempelhof-Schöneberg;8264;A00-A05;W;D
SK Berlin Tempelhof-Schöneberg;10938;A06-A14;W;D
SK Berlin Tempelhof-Schöneberg;3435;A15-A17;W;D
SK Berlin Tempelhof-Schöneberg;2408;A18-A19;W;D
SK Berlin Tempelhof-Schöneberg;7153;A20-A24;W;D
